,Name,Nationality,Club,Age,BP,Position,Total Stats,OVA,POT,Height,Weight,foot,Value,Wage
10383,B. Cabezas,Ecuador,Emelec,23,RW,LM,1661,67,72,182.88,72.12,Right,1000000,500
10384,A. Balić,Croatia,Perugia,21,CAM,CM CDM,1723,68,75,180.34,69.85,Right,1300000,2000
10385,Pol Lirola,Spain,Fiorentina,22,RM,RM RB,1873,71,76,182.88,74.84,Right,3200000,25000
10386,R. Sessegnon,England,Tottenham Hotspur,20,LM,LM LW LB,1934,75,86,177.8,71.21,Left,11500000,50000
10387,G. Tormin,France,La Berrichonne de Châteauroux,22,LM,RM ST,1658,64,72,175.26,72.12,Left,675000,2000
10388,I. Cardona,France,Stade Brestois 29,22,ST,ST RM LM,1751,71,79,185.42,77.11,Right,3500000,12000
10389,C. Ünder,Turkey,Leicester City,22,LM,RM RW,1878,78,84,172.72,66.22,Left,14000000,66000
10390,M. Saadane,Morocco,Al Fateh,28,CDM,CB CDM,1733,67,69,187.96,74.84,Right,775000,9000
10391,I. Atiemwen,Nigeria,Dinamo Zagreb,23,ST,RM CAM LM,1815,69,72,180.34,79.83,Right,1300000,500
10392,D. Zeefuik,Netherlands,Hertha BSC,22,RB,RB,1830,75,81,177.8,76.2,Right,8000000,30000
10393,M. Mansour,Saudi Arabia,Al Batin,26,CB,LB,1250,51,52,175.26,62.14,Left,35000,3000
10394,E. Embleton,England,Sunderland,21,CAM,CAM CM RM,1633,60,72,172.72,63.96,Right,375000,2000
10395,G. Gómez,Argentina,Racing Club,24,GK,GK,992,66,74,190.5,88.0,Right,725000,3000
10396,M. Zaracho,Argentina,Racing Club,22,CAM,CM CAM RM,2028,76,84,170.18,64.86,Right,11000000,17000
10397,C. D'Urso,Italy,Cittadella,21,CAM,CAM CM,1633,65,76,177.8,73.94,Right,925000,800
10398,L. Zanimacchia,Italy,Real Zaragoza,21,CAM,RM LM,1555,63,74,177.8,68.95,Right,625000,2000
10399,S. Gorga,Uruguay,River Plate Montevideo,26,CB,CB,1529,65,69,187.96,73.03,Right,625000,500
10400,F. Zorba,Turkey,Türkgücü München,22,CB,LB CB,1477,59,68,185.42,82.1,Left,220000,750
10401,F. Cassata,Italy,Genoa,22,CM,CM,1663,68,77,182.88,76.2,Right,1400000,6000
10402,Rafa Navarro B,Spain,Deportivo Alavés,26,RB,RB RWB,1735,70,73,172.72,63.96,Right,1900000,12000
10403,Brais Méndez,Spain,RC Celta,23,CAM,RM LM,1899,75,84,187.96,76.2,Left,10500000,19000
10404,Marc Roca,Spain,RCD Espanyol,23,CM,CDM CM,1922,77,82,182.88,73.94,Left,11000000,8000
10405,J. Brunetta,Argentina,Godoy Cruz,23,CAM,LM ST CAM,1849,70,79,175.26,68.04,Right,2700000,6000
10406,Strefezza,Brazil,SPAL,23,RM,RM LM,1522,64,72,167.64000000000001,63.05,Right,675000,7000
10407,F. Barceló,Uruguay,Emelec,27,ST,ST,1609,67,68,180.34,78.02,Right,900000,500
10408,R. Guitane,France,Clube Sport Marítimo,21,CAM,CAM,1582,65,76,170.18,59.87,Left,925000,2000
10409,J. Gaspar B,France,Grenoble Foot 38,23,RB,RB RWB,1676,65,74,172.72,58.06,Right,750000,2000
10410,G. Goñi,Argentina,Godoy Cruz,21,CB,CB,1293,57,70,187.96,83.01,Right,190000,1000
10411,Mario González,Spain,CD Tondela,24,RW,RM CAM,1478,64,69,182.88,76.2,Right,600000,2000
10412,Jannick,Equatorial Guinea,Real Zaragoza,21,CDM,CM,1682,60,74,177.8,83.01,Right,450000,1000
10413,S. Szymański,Poland,Poland,21,CAM,RM CAM,1706,69,83,175.26,59.87,Left,0,0
10414,I. Morales,Chile,Colo-Colo,20,ST,RM RW,1585,66,76,180.34,76.2,Right,1000000,500
10415,P. Burner,France,Nîmes Olympique,24,RWB,RB,1908,73,77,170.18,64.86,Right,4600000,15000
10416,Alex Pozo,Spain,Sevilla FC,21,RB,RB RM LM,1882,70,81,172.72,62.14,Right,2800000,9000
10417,P. Lima,Uruguay,Sportivo Luqueño,28,CB,CB,1390,62,64,182.88,73.03,Right,300000,500
10418,I. Gómez,Argentina,Estudiantes de La Plata,23,CDM,CDM CM,1810,72,83,167.64000000000001,59.87,Right,4900000,10000
10419,Jacobo,Spain,CD Tenerife,23,CAM,RM LM,1584,63,72,177.8,69.85,Right,575000,2000
10420,N. Briasco,Armenia,Club Atlético Huracán,24,ST,ST RM LM,1543,66,73,177.8,82.1,Right,925000,5000
10421,N. Cordero,Argentina,Club Atlético Huracán,21,ST,ST,1578,61,74,182.88,78.02,Right,500000,2000
10422,D. Amos,Northern Ireland,Doncaster Rovers,20,LB,LB,1541,59,70,180.34,68.04,Left,240000,1000
10423,A. Borkovic,Austria,FK Austria Wien,21,CB,CB,1528,65,74,182.88,73.94,Left,775000,3000
10424,N. Moumi Ngamaleu,Cameroon,Cameroon,25,LM,LM RM,1879,75,76,182.88,73.94,Right,8000000,21000
10425,Fran Beltrán,Spain,RC Celta,21,CDM,CM CDM CAM,1952,75,83,170.18,66.22,Right,10000000,16000
10426,L. García,Colombia,Sevilla FC,21,GK,GK,1208,63,72,190.5,81.19,Right,450000,2000
10427,Raí,Brazil,Real Zaragoza,22,ST,ST LM RM,1550,63,72,167.64000000000001,63.96,Right,575000,2000
10428,E. Barco,Argentina,Atlanta United,21,CAM,LW CF,1705,74,85,165.1,64.86,Right,9500000,7000
10429,B. Morris,England,Ipswich Town,20,ST,ST,1448,59,70,175.26,59.87,Right,275000,2000
10430,C. John,England,Doncaster Rovers,20,CB,CB LB,1508,60,75,180.34,78.02,Left,425000,1000
10431,C. Herc,Slovakia,Viktoria Plzeň,21,CAM,CM CAM,1732,65,76,185.42,73.03,Right,925000,500
10432,M. Gibbs-White,England,Swansea City,20,CAM,CAM CM,1859,71,83,177.8,69.85,Right,4200000,14000
10433,C. González,Uruguay,Rosario Central,23,CB,CB,1590,66,74,182.88,79.83,Right,850000,4000
10434,B. Levis,Canada,Vancouver Whitecaps FC,26,LWB,LB LM,1662,60,62,172.72,69.85,Left,220000,2000
10435,F. N'Goma,France,Stade Brestois 29,27,LM,LM RM CM,1791,67,67,175.26,68.95,Right,800000,6000
10436,H. Smith,England,Northampton Town,25,ST,ST,1560,62,67,195.57999999999998,84.82,Right,400000,3000
10437,J. Brown B,England,Millwall,22,RB,RB RWB,1495,60,70,177.8,78.93,Right,300000,2000
10438,Javi Díaz,Spain,Sevilla FC,23,GK,GK,1180,65,75,182.88,74.84,Right,675000,4000
10439,C. Cockerill-Mollett,Republic of Ireland,Walsall,21,LB,LB,1571,60,69,177.8,69.85,Left,300000,2000
10440,Dani Cárdenas,Spain,Levante UD,23,GK,GK,986,63,73,185.42,79.83,Right,475000,3000
10441,P. Clement,Netherlands,PEC Zwolle,24,CAM,CM LW,1809,67,73,177.8,67.13,Right,1000000,3000
10442,K. Duncan,United States,New York Red Bulls,22,RB,RB LB,1611,65,74,177.8,68.04,Right,750000,2000
10443,D. Batty,England,Hull City,22,CDM,CDM CM,1765,67,76,177.8,73.03,Right,1100000,3000
10444,Reinildo,Mozambique,LOSC Lille,26,LB,LB,1838,73,76,180.34,73.03,Left,4300000,24000
10445,I. Zlobin,Russia,Famalicão,23,GK,GK,1028,70,80,190.5,83.91,Right,2300000,4000
10446,João Bardinho,Brazil,Botafogo,24,LB,LB RB,1958,72,72,177.8,71.21,Left,2900000,13000
10447,Marlion Simões,Brazil,Ceará Sporting Club,28,LB,LB CM,1900,73,73,180.34,74.84,Left,3400000,11000
10448,Estevão Baldeiro,Brazil,Flamengo,24,CB,CB,2136,74,74,185.42,84.82,Right,5500000,24000
10449,Douglas Armeira,Brazil,Coritiba,28,RB,RB,1898,74,74,175.26,73.94,Right,4800000,19000
10450,Elton Coengo,Brazil,Oceânico FC,20,CM,CM CDM,1913,67,67,180.34,74.84,Right,825000,5000
10451,Martin Cordeia,Brazil,Internacional,24,CAM,CAM CM,1778,70,70,180.34,76.2,Right,2000000,13000
10452,Ever Rodeiro,Brazil,Botafogo,24,CAM,CAM CM,1763,65,65,172.72,71.21,Right,600000,5000
10453,Freddy Cardouso,Brazil,Atlético Clube Goianiense,20,CAM,CAM CF,1762,67,67,172.72,69.85,Left,850000,4000
10454,Venanzio Meirás,Brazil,Chapecoense,19,CAM,ST CAM,1718,67,67,182.88,77.11,Left,825000,4000
10455,Hélton Carvalhal,Brazil,Ceará Sporting Club,28,ST,ST,1348,61,61,187.96,82.1,Right,250000,3000
10456,D. Hume,England,Sunderland,21,LWB,LWB LB,1567,65,76,177.8,71.21,Left,850000,3000
10457,D. Vorobyev,Russia,FC Krasnodar,19,ST,ST LW RW,1445,60,71,182.88,78.93,Right,350000,4000
10458,D. Diaw,Italy,Cittadella,27,ST,ST RW,1670,70,70,190.5,76.2,Right,1900000,3000
10459,P. Neumann,Germany,Holstein Kiel,22,CB,RB CB,1623,68,75,193.04,82.1,Right,1100000,6000
10460,D. Brašanac,Serbia,CA Osasuna,28,CM,CM CDM RM,1992,76,76,177.8,73.03,Right,7500000,31000
10461,A. Whiteman,England,Tottenham Hotspur,21,GK,GK,979,63,74,187.96,83.91,Right,500000,7000
10462,G. Viscarra,Bolivia,Club Bolívar,27,GK,GK,888,62,63,190.5,79.83,Right,250000,500
10463,D. Wayar,Bolivia,Bolivia,26,CDM,CDM CM,1555,64,67,170.18,66.22,Right,0,0
10464,T. Sibbick,England,KV Oostende,21,RB,RB CM CB,1513,65,74,182.88,68.95,Right,750000,2000
10465,A. Elis,Honduras,Boavista FC,24,ST,RM RW ST,1846,75,81,180.34,77.11,Right,9000000,9000
10466,O. Ejaria,England,Reading,22,CAM,CAM LM CM,1921,73,82,185.42,73.94,Right,6000000,11000
10467,H. Kane,England,Hull City,20,CAM,CM,1750,67,77,172.72,67.13,Right,1200000,4000
10468,B. Woodburn,Wales,Liverpool,20,CAM,CAM LM,1594,66,81,175.26,72.12,Right,1400000,15000
10469,F. Rodríguez Valla,Uruguay,Club Atlético Aldosivi,30,LM,LM CAM RM,1782,70,70,180.34,69.85,Left,1700000,7000
10470,S. Peña,Peru,FC Emmen,24,CAM,CAM CM,1894,73,77,177.8,68.95,Right,5000000,6000
10471,A. Santamaría,Peru,Peru,28,CB,CB,1832,67,69,182.88,79.83,Right,775000,5000
10472,V. Peña,Peru,Sport Huancayo,32,RM,RM LM CDM,1621,66,66,165.1,68.04,Right,500000,500
10473,P. Aquino,Peru,Peru,25,CDM,CDM CM,1874,73,77,175.26,71.21,Right,4700000,17000
10474,D. Aimar,Ecuador,Barcelona Sporting Club,25,CB,CB,1473,70,77,182.88,79.83,Right,2200000,500
10475,P. Velasco,Ecuador,Barcelona Sporting Club,27,RB,RB LB,1583,67,68,172.72,67.13,Right,750000,500
10476,A. Danjuma Groeneveld,Netherlands,Bournemouth,23,RM,LW LM,1860,75,80,177.8,79.83,Right,9000000,14000
10477,I. Conté,Guinea,Chamois Niortais Football Club,24,CB,CB,1563,65,70,190.5,82.1,Right,650000,2000
10478,J. Mascia,Uruguay,Club Plaza Colonia,26,ST,ST,1585,64,66,187.96,77.11,Right,550000,500
10479,N. Ibáñez,Argentina,Atlético de San Luis,25,ST,ST,1731,70,73,177.8,76.2,Right,2300000,10000
10480,I. Mathew,Nigeria,Lillestrøm SK,22,RM,CM,1915,69,78,172.72,69.85,Right,1600000,3000
10481,G. Cuomo,Italy,Crotone,22,CB,CB,1202,57,70,190.5,78.93,Right,180000,2000
10482,Aarón,Spain,1. FSV Mainz 05,23,LWB,LB,1899,75,78,177.8,68.04,Left,7500000,20000
10483,M. Cortés,Colombia,Independiente Medellín,23,LM,RM LM,1533,61,70,172.72,66.22,Left,400000,700
10484,E. Atuesta,Colombia,Los Angeles FC,23,CM,CDM CM,1894,73,81,180.34,71.21,Right,5500000,6000
10485,Koke Vegas,Spain,Levante UD,24,GK,GK,1097,70,76,187.96,88.0,Right,1800000,8000
10486,Josema,Spain,Elche CF,24,CB,CB LB,1461,66,73,182.88,81.19,Left,825000,5000
10487,R. Marchizza,Italy,Spezia,22,CB,LB CB,1573,68,77,185.42,79.83,Left,1200000,500
10488,S. Hart,England,Shrewsbury,22,LB,LB LWB,1684,63,72,182.88,69.85,Left,500000,2000
10489,M. Rog,Croatia,Cagliari,24,CAM,CM,1952,75,79,180.34,73.03,Right,8500000,25000
10490,A. Jones,England,Hull City,22,CB,CDM,1516,63,73,187.96,69.85,Right,550000,2000
10491,Y. Valery,France,Southampton,21,RWB,RWB RB,1823,72,82,180.34,84.82,Right,4600000,23000
10492,T. O'Connor,Republic of Ireland,Gillingham,21,CDM,LB CM,1671,62,74,180.34,69.85,Left,500000,1000
10493,D. N'Lundulu,England,Southampton,21,ST,ST,1432,59,70,180.34,74.84,Right,275000,6000
10494,J. Vokins,England,Southampton,20,LWB,LB LWB,1597,62,76,180.34,69.85,Left,625000,6000
10495,E. Cabaco,Uruguay,Getafe CF,25,CB,CB,1625,74,79,185.42,74.84,Right,6500000,20000
10496,J. Turner,England,Morecambe,21,GK,GK,863,54,68,193.04,82.1,Right,130000,800
10497,N. Messiniti,Argentina,Independiente,24,ST,ST,1517,63,70,182.88,79.83,Right,525000,4000
10498,N. Mileusnić,Australia,Adelaide United,26,LW,LW RW,1586,64,64,180.34,71.21,Right,475000,1000
10499,J. Molumby,Republic of Ireland,Brighton & Hove Albion,20,CM,CM CDM,1694,67,79,177.8,63.96,Right,1300000,13000
10500,S. Atakayi,Finland,Rangers FC,20,RM,RM,1425,60,78,170.18,64.86,Right,450000,6000
10501,R. González,Chile,Unión La Calera,24,RWB,RM RB,1681,65,71,175.26,74.84,Right,750000,950
10502,Luiz Felipe,Brazil,Lazio,23,CB,CB,1708,77,85,187.96,79.83,Right,12000000,41000
10503,K. Flanagan,Republic of Ireland,Crystal Palace,19,CAM,CAM CM,1523,58,74,177.8,72.12,Right,275000,4000
10504,D. Watts,Republic of Ireland,Shamrock Rovers,23,CAM,CM CAM LW,1641,60,69,177.8,68.04,Right,325000,600
10505,C. Wood,England,Bradford City,23,LWB,LB LWB,1728,66,73,177.8,78.02,Left,800000,5000
10506,K. Mohammed,Ghana,Dynamo Kyiv,24,CB,CDM,1626,69,76,182.88,76.2,Right,1300000,500
10507,G. Maggiore,Italy,Spezia,22,CM,CM,1740,67,78,182.88,68.95,Right,1300000,500
10508,C. Zesiger,Switzerland,BSC Young Boys,22,CB,CB LB,1449,67,80,193.04,89.81,Right,1400000,6000
10509,D. Wright,England,Colchester United,22,CDM,CDM,1579,58,64,177.8,68.95,Right,160000,2000
10510,E. Obi,Nigeria,Wigan Athletic,19,CB,CB,1247,57,73,195.57999999999998,87.09,Right,210000,500
10511,A. Plizzari,Italy,Livorno,19,GK,GK,1082,66,82,187.96,73.03,Right,1200000,500
10512,M. Olivera,Uruguay,FC Juárez,28,LB,LB LM,1818,71,71,180.34,79.83,Left,2000000,9000
10513,J. Garrick,Jamaica,Swansea City,21,RM,RM,1451,62,73,182.88,78.02,Right,525000,4000
10514,Pol Valentín B,Spain,CF Fuenlabrada,23,RB,RB RWB RM,1698,67,74,180.34,73.03,Right,950000,2000
10515,Giovanni,Spain,CD Tenerife,21,RM,ST RM,1560,60,71,165.1,55.79,Right,350000,2000
10516,L. Bergsma,Netherlands,AZ Alkmaar,22,CB,CB,1580,65,73,185.42,72.12,Right,725000,3000
10517,N. Mazraoui,Morocco,Ajax,22,RM,RB CM,1968,77,83,182.88,62.14,Right,11000000,14000
10518,E. Ndicka,France,Eintracht Frankfurt,20,CB,CB LB,1808,74,84,193.04,82.1,Left,8500000,16000
10519,Lasure,Spain,CD Leganés,26,LB,LB LM,1757,68,71,175.26,73.94,Left,975000,5000
10520,S. Kulenović,Croatia,Dinamo Zagreb,20,ST,ST,1524,63,79,190.5,83.01,Right,825000,500
10521,Yan Sasse,Brazil,Çaykur Rizespor,22,CAM,CAM,1729,67,75,172.72,67.13,Left,1100000,5000
10522,S. Olsson,Sweden,IF Elfsborg,22,CM,CM,1661,67,75,185.42,81.19,Right,1100000,2000
10523,M. Lucero,Argentina,Club Atlético Banfield,27,LM,CAM LM,1574,64,64,187.96,81.19,Left,475000,5000
10524,D. Sosa,Argentina,Club Atlético Tigre,22,LB,LB,1614,66,75,177.8,73.94,Left,900000,4000
10525,F. Bustos B,Argentina,Independiente,24,RM,RB RWB RM,1964,76,81,167.64000000000001,66.22,Right,9000000,15000
10526,H. Ochieng,Kenya,Cork City,21,CDM,CDM CM,1402,55,66,177.8,67.13,Right,130000,500
10527,J. Kabongo,Denmark,Brøndby IF,22,CB,CB,1395,61,71,193.04,88.0,Left,375000,3000
10528,R. Peña,Venezuela,Houston Dynamo,23,ST,ST,1489,64,70,182.88,78.02,Right,625000,2000
10529,S. Doumbia,Ivory Coast,Angers SCO,23,LB,LB,1716,68,75,175.26,63.96,Left,1100000,7000
10530,D. Giannoulis,Greece,PAOK,24,LB,LB LM,1861,74,78,177.8,71.21,Left,6500000,500
10531,A. Poungouras,Greece,Panathinaikos FC,24,CB,CB,1579,68,74,187.96,77.11,Right,1100000,500
10532,J. Mateta,France,1. FSV Mainz 05,23,ST,ST,1758,76,83,193.04,88.0,Right,11000000,26000
10533,L. Faye,Netherlands,ADO Den Haag,22,LB,LB,1589,66,70,170.18,78.93,Left,750000,2000
10534,J. Ngoy,Belgium,KAS Eupen,22,ST,LW ST RW,1615,65,75,185.42,88.0,Right,875000,3000
10535,C. Michelin,France,Racing Club de Lens,23,RWB,RWB RB,1834,72,79,177.8,69.85,Right,3900000,21000
10536,F. Götze,Germany,FC Augsburg,22,CB,CB CDM,1504,64,73,185.42,78.02,Right,625000,5000
10537,A. Aktaş,Turkey,Kayserispor,20,CAM,CAM RM,1480,55,69,177.8,69.85,Right,180000,2000
10538,A. Cardozo,Argentina,Club Atlético Tigre,23,CB,CDM CM,1594,60,71,175.26,69.85,Right,325000,2000
10539,M. Bundu,Sierra Leone,RSC Anderlecht,23,RM,RW,1817,72,80,187.96,77.11,Right,4600000,15000
10540,A. Claude-Maurice,France,OGC Nice,22,CAM,LM LW CAM,1904,75,82,175.26,63.96,Right,9500000,27000
10541,Y. Bissouma,Mali,Brighton & Hove Albion,23,CM,CM CDM,2002,75,80,182.88,79.83,Right,9000000,42000
10542,M. Nanizayamo,France,FC Lausanne-Sport,22,CB,CB,1300,58,67,190.5,88.0,Left,180000,2000
10543,D. Keillor-Dunn,England,Oldham Athletic,22,LM,LM,1485,62,68,180.34,68.04,Left,425000,2000
10544,K. Arase,Austria,SK Rapid Wien,21,RM,LM RM CAM,1620,67,76,172.72,62.14,Right,1200000,7000
10545,Pedro Díaz,Spain,Real Sporting de Gijón,22,CAM,CDM CM,1895,69,80,180.34,78.02,Right,1700000,4000
10546,A. Bolger,Republic of Ireland,Shamrock Rovers,20,CAM,CM CDM,1538,58,74,170.18,64.86,Right,275000,500
10547,M. Guendouzi,France,Arsenal,21,CM,CDM CM,2043,77,86,185.42,79.83,Right,12500000,46000
10548,S. Lammers,Netherlands,Atalanta,23,ST,ST,1817,74,81,190.5,77.11,Left,8000000,39000
10549,Douglas Luiz,Brazil,Aston Villa,22,CDM,CDM CM,1977,75,83,177.8,69.85,Right,9000000,38000
10550,Artur Jorge,Portugal,Vitória de Setúbal,24,CB,CB,1548,73,77,185.42,78.93,Right,4700000,5000
10551,M. Senesi,Argentina,Feyenoord,23,CB,CB,1724,77,84,185.42,79.83,Left,11500000,12000
10552,T. Conechny,Argentina,Portland Timbers,22,CAM,ST CAM LM,1607,64,73,170.18,64.86,Left,700000,2000
10553,Adrián Diéguez,Spain,CF Fuenlabrada,24,CB,CB,1505,67,74,187.96,68.95,Left,975000,2000
10554,A. Nordin,France,AS Saint-Étienne,22,LM,LM RM,1755,72,80,170.18,68.95,Left,4600000,19000
10555,E. Brignola,Italy,SPAL,20,CAM,CAM RW CF,1600,68,82,167.64000000000001,71.21,Left,2000000,10000
10556,A. Ahmedhodžić,Bosnia Herzegovina,Malmö FF,21,CB,CB,1644,69,80,193.04,83.91,Right,1700000,3000
10557,S. Cáseres,Argentina,Club América,23,CDM,CDM CM,1869,73,81,177.8,74.84,Right,5500000,23000
10558,S. Alzate,Colombia,Brighton & Hove Albion,21,CAM,CM RB,1741,68,79,180.34,74.84,Right,1500000,15000
10559,L. O'Brien,England,Huddersfield Town,21,LWB,CDM CM,1790,68,78,172.72,63.05,Left,1300000,7000
10560,R. Koch,Germany,Leeds United,23,CB,CB CDM,1733,76,84,190.5,86.18,Right,10500000,64000
10561,R. Glatzel,Germany,Cardiff City,26,ST,ST,1568,70,73,193.04,84.82,Right,2200000,17000
10562,A. Touba,Belgium,RKC Waalwijk,22,LWB,LB CB,1742,65,72,182.88,81.19,Left,675000,2000
10563,G. Arteaga,Mexico,KRC Genk,21,LB,LB,1864,75,82,175.26,64.86,Left,8500000,11000
10564,G. Guruceaga,Uruguay,CD Palestino,24,GK,GK,1076,71,76,193.04,82.1,Left,2400000,2000
10565,J. Sýkora,Czech Republic,Lech Poznań,26,LM,LM RM CAM,1953,72,73,170.18,59.87,Left,3700000,8000
10566,J. Zmrhal,Czech Republic,Brescia,26,LM,LM RM,1895,72,72,187.96,83.01,Left,3300000,25000
10567,M. Ndjoli,England,Bournemouth,21,ST,ST RW LW,1530,59,71,182.88,72.12,Right,275000,2000
10568,H. Darling,England,Cambridge United,20,CB,CB,1415,59,71,180.34,74.84,Right,250000,1000
10569,E. Huth,Germany,1. FC Kaiserslautern,23,ST,ST,1597,65,70,185.42,78.02,Right,725000,2000
10570,Guilherme Schettine,Brazil,SC Braga,24,ST,ST,1687,68,75,180.34,76.2,Right,1300000,6000
10571,M. Hongla,Cameroon,Royal Antwerp FC,22,CDM,CDM CB CM,1822,68,76,182.88,74.84,Right,1200000,7000
10572,O. Malcı,Turkey,Çaykur Rizespor,24,CB,CDM,1514,56,62,185.42,73.94,Right,110000,2000
10573,M. Paes,Netherlands,FC Utrecht,22,GK,GK,1027,70,80,190.5,82.1,Right,2300000,6000
10574,O. Wijndal,Netherlands,AZ Alkmaar,20,LWB,LB,1957,77,86,175.26,64.86,Left,12500000,8000
10575,B. Chorbadzhiyski,Bulgaria,Bulgaria,23,CB,CB,1426,66,75,193.04,82.1,Right,0,0
10576,J. Pavlenka,Czech Republic,SV Werder Bremen,28,GK,GK,1089,82,83,195.57999999999998,81.19,Right,18500000,32000
10577,You Ju An,Korea Republic,Suwon Samsung Bluewings,20,ST,ST RW,1693,66,74,177.8,69.85,Right,975000,2000
10578,Kim Jin Ya,Korea Republic,FC Seoul,22,RM,LB RM,1830,67,77,177.8,63.05,Right,1100000,3000
10579,M. Farfan,United States,Portland Timbers,21,LB,LB CB CDM,1603,64,73,175.26,68.04,Right,625000,1000
10580,Q. Bena,France,Chamois Niortais Football Club,22,CB,CDM RB,1669,63,69,185.42,78.93,Right,450000,1000
10581,E. Sylisufaj,Sweden,Falkenbergs FF,20,ST,ST,1552,63,75,177.8,79.83,Right,675000,700
10582,C. Stengs,Netherlands,AZ Alkmaar,21,CAM,RW,1839,78,86,187.96,68.04,Left,15500000,11000
10583,S. Shashoua,England,CD Tenerife,21,RM,LM RM CAM,1558,66,80,170.18,64.86,Right,1400000,2000
10584,J. Tanganga,England,Tottenham Hotspur,21,CB,CB RB LB,1604,71,83,182.88,73.03,Right,3900000,29000
10585,S. Tracey,England,Shrewsbury,22,RM,RM ST LM,1538,60,70,177.8,76.2,Right,325000,2000
10586,L. Sandoval,Colombia,Junior FC,21,ST,ST CF RM,1602,61,74,182.88,76.2,Right,500000,650
10587,M. Kean,Italy,Everton,20,ST,ST,1728,74,83,182.88,72.12,Right,9000000,48000
10588,R. Loft,England,Scunthorpe United,22,ST,ST,1449,58,66,190.5,73.03,Right,190000,3000
10589,L. Grill,Germany,Bayer 04 Leverkusen,21,GK,GK,977,68,80,190.5,87.09,Right,1300000,10000
10590,D. Rigo,Belgium,ADO Den Haag,21,CAM,CM CDM,1707,66,76,180.34,74.84,Right,1000000,2000
10591,T. Vlietinck,Belgium,Oud-Heverlee Leuven,22,RM,RM,1773,68,75,177.8,68.95,Right,1300000,5000
10592,P. Hamel,France,FC Lorient,26,ST,ST,1670,71,74,187.96,76.2,Right,3000000,20000
10593,A. Barkok,Germany,Eintracht Frankfurt,22,CAM,CM CAM,1830,69,79,187.96,81.19,Right,1700000,11000
10594,J. Koutroumbis,Australia,Newcastle Jets,22,CB,RB LB,1484,62,68,182.88,73.03,Right,375000,800
10595,J. Kade,Germany,SG Dynamo Dresden,21,CAM,CAM LB,1608,61,75,182.88,67.13,Left,550000,1000
10596,C. Operi,Ivory Coast,La Berrichonne de Châteauroux,23,LB,LB,1749,67,75,182.88,78.02,Left,1000000,2000
10597,David Neres,Brazil,Ajax,23,CAM,LW RW CAM,1931,80,85,175.26,66.22,Left,20000000,21000
10598,H. Stenevik,Norway,Strømsgodset IF,20,RM,RW,1410,57,74,185.42,69.85,Right,230000,800
10599,A. Caci,France,RC Strasbourg Alsace,23,LB,LB CB LWB,1866,74,82,182.88,69.85,Right,7500000,19000
10600,D. Adeniran,England,Wycombe Wanderers,21,CDM,CM CDM,1577,57,67,180.34,74.84,Right,170000,2000
10601,Xeka,Portugal,LOSC Lille,25,CM,CDM CM,1916,75,80,185.42,83.01,Right,8000000,27000
10602,Y. van Osch,Netherlands,Fortuna Sittard,23,GK,GK,1079,62,70,182.88,73.03,Right,350000,2000
10603,J. Brown,England,Stoke City,22,RM,ST RM,1771,66,75,182.88,72.12,Right,1000000,8000
10604,B. Koglin,Germany,1. FC Magdeburg,23,CB,CB,1427,64,70,185.42,78.93,Left,550000,1000
10605,F. Ugrinic,Switzerland,FC Luzern,21,CDM,CDM CM,1655,63,75,182.88,83.91,Right,625000,2000
10606,F. Baak,Germany,Hertha BSC,21,CB,CB,1364,61,72,190.5,89.81,Right,400000,4000
10607,E. Balcombe,England,Brentford,20,GK,GK,1038,60,74,182.88,76.2,Right,375000,3000
10608,L. Rivas,Argentina,Rosario Central,20,CAM,CAM RM,1510,59,74,172.72,67.13,Right,350000,2000
10609,G. Rojas,Argentina,San Lorenzo de Almagro,23,LWB,LB,1611,62,71,177.8,68.04,Left,425000,3000
10610,Pedro Marques,Portugal,Sporting CP,20,ST,ST,1701,70,84,180.34,77.11,Right,3900000,7000
10611,K. Jakob,Germany,FC Augsburg,22,LWB,LB LM,1562,62,73,182.88,73.94,Left,475000,4000
10612,I. Tapia,Chile,CD Huachipato,21,CB,CB RB LB,1319,59,74,185.42,72.12,Right,325000,900
10613,S. Lo Faso,Italy,Lecce,22,CAM,CF,1643,65,76,177.8,72.12,Right,925000,8000
10614,Melendo,Spain,RCD Espanyol,22,CAM,RM CAM,1934,78,84,167.64000000000001,63.05,Left,14000000,10000
10615,M. Thurnwald,Austria,SCR Altach,21,RWB,RB RWB RM,1737,65,74,172.72,68.04,Right,750000,2000
10616,J. KayB,England,Barrow,23,LWB,LWB LM,1572,59,67,182.88,74.84,Right,200000,1000
10617,M. Ngadeu,Cameroon,KAA Gent,29,CB,CB,1747,75,75,190.5,92.99,Right,5500000,21000
10618,Marc Gual,Spain,AD Alcorcón,24,ST,ST LM RM,1634,70,77,182.88,73.03,Right,2500000,6000
10619,Luis Muñoz,Spain,Málaga CF,22,CB,CB CDM CM,1477,67,75,180.34,76.2,Right,1000000,3000
10620,A. Chatzigiovanis,Greece,Panathinaikos FC,23,RM,LM RM,1723,72,78,177.8,62.14,Right,4300000,500
10621,S. Lukić,Serbia,Torino,23,CM,CM CDM,1958,74,81,182.88,77.11,Right,8000000,30000
10622,D. Raum,Germany,SpVgg Greuther Fürth,22,LM,LB LM,1749,64,73,180.34,74.84,Left,625000,2000
